session_id,duration,Completed_step1,Completed_step2,Completed_pmt,region_name,region_code,state_code,state_name,zip_code,city_name,lat,lng,state_quadrant,county_name,basket_price,country
19,191426,Y,N,N,East North Central,Midwest,MI,Michigan,48169,Pinckney,42.455063,-83.93425,SE Corner of Michigan,Livingston County,154,United States
20,121094,N,N,N,West North Central,Midwest,SD,South Dakota,57555,Mission,43.233874,-100.64693,SW Corner of South Dakota,Todd County,164,United States
21,31066,N,N,N,East North Central,Midwest,WI,Wisconsin,54337,Bone Lake,45.610429,-92.324516,NW Corner of Wisconsin,Unknown County,36,United States
22,112821,Y,Y,Y,New England,Northeast,MA,Massachusetts,02370,Rockland,42.129513,-70.91189,NE Corner of Massachusetts,Plymouth County,232,United States
23,254511,N,N,N,West North Central,Midwest,MN,Minnesota,55558,Young America,44.805487,-93.766524,SW Corner of Minnesota,Carver County,112,United States
24,234538,N,N,N,South Atlantic,South,FL,Florida,33035,Homestead,25.457913,-80.44781,SE Corner of Florida,Miami-Dade County,17,United States
25,54753,N,N,N,Mountain,West,MT,Montana,59427,Cut Bank,48.680309,-112.47009,NW Corner of Montana,Glacier County,137,United States
26,155491,N,N,N,South Atlantic,South,MD,Maryland,21658,Queenstown,38.963566,-76.13939,NE Corner of Maryland,Queen Anne's County,34,United States
27,192667,Y,N,N,Mid-Atlantic,Northeast,NJ,New Jersey,08878,South Amboy,40.436865,-74.250942,NE Corner of New Jersey,Unknown County,208,United States
28,177968,Y,Y,N,Mid-Atlantic,Northeast,PA,Pennsylvania,16546,Erie,42.182748,-80.064915,NW Corner of Pennsylvania,Erie County,190,United States
29,117213,Y,Y,Y,East North Central,Midwest,IN,Indiana,47946,Francesville,40.986799,-86.87659,NW Corner of Indiana,Pulaski County,15,United States
30,32017,Y,Y,Y,East North Central,Midwest,IL,Illinois,62002,Alton,38.906065,-90.15909,SW Corner of Illinois,Madison County,244,United States
31,16244,Y,Y,Y,Pacific,West,OR,Oregon,97342,Detroit,44.727388,-122.08703,NW Corner of Oregon,Marion County,109,United States
32,231467,Y,N,N,Mountain,West,NM,New Mexico,87034,Pueblo Of Acoma,34.900203,-107.65365,NW Corner of New Mexico,Cibola County,160,United States
33,131874,Y,Y,Y,East North Central,Midwest,IL,Illinois,60157,Medinah,41.970628,-88.05606,NE Corner of Illinois,Dupage County,250,United States
34,131369,Y,Y,N,New England,Northeast,NH,New Hampshire,03827,East Kingston,42.91574,-70.98459,SE Corner of New Hampshire,Rockingham County,93,United States
35,23943,Y,N,N,Mid-Atlantic,Northeast,NY,New York,12077,Glenmont,42.600551,-73.79621,SE Corner of New York,Albany County,160,United States
36,266656,Y,Y,N,West South Central,South,TX,Texas,78248,San Antonio,29.589826,-98.52524,SE Corner of Texas,Bexar County,97,United States
37,83445,Y,Y,N,Pacific,West,OR,Oregon,97219,Portland,45.45867,-122.70611,NW Corner of Oregon,Multnomah County,51,United States
38,207080,Y,Y,Y,West South Central,South,AR,Arkansas,72830,Clarksville,35.490105,-93.4851,NE Corner of Arkansas,Johnson County,90,United States
39,288301,N,N,N,Mid-Atlantic,Northeast,NJ,New Jersey,07978,Pluckemin,40.642491,-74.639597,NE Corner of New Jersey,Somerset County,73,United States
40,19998,Y,Y,Y,West South Central,South,LA,Louisiana,71213,Monroe,32.490777,-92.159354,NW Corner of Louisiana,Ouachita Parish,170,United States
41,14923,N,N,N,South Atlantic,South,SC,South Carolina,29342,Gaffney,34.996314,-81.652395,NW Corner of South Carolina,Cherokee County,130,United States
42,281764,Y,Y,Y,South Atlantic,South,FL,Florida,33624,Tampa,28.07506,-82.52355,NE Corner of Florida,Hillsborough County,31,United States
43,74887,Y,N,N,South Atlantic,South,VA,Virginia,23856,Freeman,36.776189,-77.71289,SE Corner of Virginia,Brunswick County,229,United States
44,252761,N,N,N,South Atlantic,South,MD,Maryland,21055,Garrison,39.438964,-76.592139,NE Corner of Maryland,Unknown County,250,United States
45,241982,Y,N,N,Mid-Atlantic,Northeast,NY,New York,12189,Watervliet,42.729278,-73.70913,SE Corner of New York,Albany County,11,United States
46,127390,Y,N,N,East South Central,South,KY,Kentucky,42717,Burkesville,36.765985,-85.39971,SE Corner of Kentucky,Cumberland County,56,United States
47,74196,Y,Y,Y,East North Central,Midwest,IL,Illinois,62025,Edwardsville,38.819297,-89.9551,SW Corner of Illinois,Madison County,172,United States
48,64450,Y,Y,N,South Atlantic,South,NC,North Carolina,27520,Clayton,35.635275,-78.4489,NE Corner of North Carolina,Johnston County,23,United States
49,280325,N,N,N,West South Central,South,TX,Texas,77801,Bryan,30.637348,-96.36015,SE Corner of Texas,Brazos County,132,United States
50,113551,N,N,N,West South Central,South,TX,Texas,77978,Point Comfort,28.672399,-96.55725,SE Corner of Texas,Calhoun County,51,United States
51,246753,Y,Y,Y,New England,Northeast,VT,Vermont,05778,Whiting,43.864419,-73.21148,SW Corner of Vermont,Addison County,98,United States
52,29761,Y,Y,N,West South Central,South,AR,Arkansas,72938,Hartford,35.026991,-94.36684,NW Corner of Arkansas,Sebastian County,216,United States
53,123987,Y,Y,N,South Atlantic,South,WV,West Virginia,26160,Palestine,38.971224,-81.40218,NW Corner of West Virginia,Wirt County,192,United States
54,29412,N,N,N,South Atlantic,South,DC,Washington DC,20506,Washington,38.899364,-77.037668,SW Corner of Washington DC,District of Columbia,19,United States
55,224394,Y,N,N,Pacific,West,CA,California,95305,Big Oak Flat,37.824554,-120.25764,NW Corner of California,Tuolumne County,201,United States
56,26481,N,N,N,Pacific,West,CA,California,95573,Willow Creek,40.945039,-123.65806,NW Corner of California,Humboldt County,10,United States
57,292017,N,N,N,East North Central,Midwest,MI,Michigan,48847,Ithaca,43.269967,-84.59181,SE Corner of Michigan,Gratiot County,123,United States
58,291949,Y,Y,N,Mid-Atlantic,Northeast,PA,Pennsylvania,18232,Lansford,40.832477,-75.88198,SE Corner of Pennsylvania,Carbon County,211,United States
59,113417,Y,Y,Y,East North Central,Midwest,OH,Ohio,45734,Graysville,39.628144,-81.19164,SE Corner of Ohio,Monroe County,212,United States
60,275038,Y,Y,Y,West South Central,South,AR,Arkansas,72070,Houston,35.023369,-92.71047,NE Corner of Arkansas,Perry County,37,United States
61,70427,Y,Y,N,Pacific,West,OR,Oregon,97467,Reedsport,43.68516,-124.00262,SW Corner of Oregon,Douglas County,70,United States
62,34746,N,N,N,East South Central,South,TN,Tennessee,37301,Altamont,35.429018,-85.77679,NE Corner of Tennessee,Grundy County,37,United States
63,55581,Y,N,N,Mountain,West,MT,Montana,59101,Billings,45.737525,-108.48754,SE Corner of Montana,Yellowstone County,205,United States
64,10525,N,N,N,Mountain,West,AZ,Arizona,85911,Cibecue,34.102913,-110.55639,SE Corner of Arizona,Navajo County,39,United States
65,213674,Y,Y,Y,Mountain,West,UT,Utah,84776,Tropic,37.650853,-112.07946,SW Corner of Utah,Garfield County,223,United States
66,152855,Y,N,N,New England,Northeast,NH,New Hampshire,03578,Landaff,44.101208,-71.854211,NW Corner of New Hampshire,Unknown County,97,United States
67,290900,N,N,N,West North Central,Midwest,ND,North Dakota,58602,Dickinson,46.820185,-102.663913,SW Corner of North Dakota,Stark County,249,United States
68,61603,Y,Y,Y,West North Central,Midwest,IA,Iowa,52206,Atkins,41.993799,-91.86755,NE Corner of Iowa,Benton County,78,United States
69,94283,Y,Y,Y,East South Central,South,TN,Tennessee,37912,Knoxville,36.008048,-83.97962,NE Corner of Tennessee,Knox County,105,United States
70,173990,N,N,N,Mountain,West,CO,Colorado,81125,Center,37.773899,-106.08966,SW Corner of Colorado,Saguache County,29,United States
71,78730,Y,Y,N,Mid-Atlantic,Northeast,PA,Pennsylvania,16624,Chest Springs,40.578804,-78.6098,SW Corner of Pennsylvania,Cambria County,76,United States
72,98726,Y,N,N,West North Central,Midwest,IA,Iowa,52233,Hiawatha,42.044409,-91.68102,NE Corner of Iowa,Linn County,86,United States
73,96048,Y,Y,N,East South Central,South,KY,Kentucky,42564,West Somerset,37.111433,-84.592898,SE Corner of Kentucky,Pulaski County,141,United States
74,260597,Y,N,N,Mid-Atlantic,Northeast,PA,Pennsylvania,19171,Philadelphia,40.001811,-75.11787,SE Corner of Pennsylvania,Philadelphia County,73,United States
75,264177,Y,Y,N,South Atlantic,South,FL,Florida,32360,Telogia,30.184365,-84.88355,NW Corner of Florida,Liberty County,188,United States
76,291522,Y,Y,Y,Pacific,West,CA,California,96067,Mount Shasta,41.317771,-122.31207,NW Corner of California,Siskiyou County,88,United States
77,2536,N,N,N,East South Central,South,TN,Tennessee,37872,Sunbright,36.262842,-84.66549,NE Corner of Tennessee,Morgan County,226,United States
78,255848,N,N,N,West North Central,Midwest,MN,Minnesota,56291,Taunton,44.598116,-96.06801,SW Corner of Minnesota,Lyon County,12,United States
79,23643,Y,Y,Y,West North Central,Midwest,IA,Iowa,52554,Eldon,40.919465,-92.22521,SE Corner of Iowa,Wapello County,100,United States
80,65252,Y,Y,Y,East North Central,Midwest,IL,Illinois,60570,Hinsdale,41.839679,-88.088716,NE Corner of Illinois,Dupage County,214,United States
81,31838,Y,Y,Y,South Atlantic,South,FL,Florida,33185,Miami,25.723173,-80.43995,SE Corner of Florida,Miami-Dade County,66,United States
82,7832,N,N,N,Mid-Atlantic,Northeast,NY,New York,12531,Holmes,41.519085,-73.67241,SE Corner of New York,Dutchess County,195,United States
83,229429,Y,Y,Y,East South Central,South,AL,Alabama,35899,Huntsville,34.733898,-86.645592,NE Corner of Alabama,Madison County,75,United States
84,113258,Y,Y,N,South Atlantic,South,WV,West Virginia,26617,Dille,38.49119,-80.83069,SW Corner of West Virginia,Clay County,120,United States
85,126070,Y,Y,Y,West South Central,South,TX,Texas,78238,San Antonio,29.479874,-98.61509,SE Corner of Texas,Bexar County,226,United States
86,100988,Y,Y,Y,East South Central,South,MS,Mississippi,38924,Cruger,33.309896,-90.21172,NW Corner of Mississippi,Holmes County,23,United States
87,110291,Y,Y,Y,Mountain,West,CO,Colorado,80243,Denver,39.738752,-104.408349,NE Corner of Colorado,Denver County,183,United States
88,242635,Y,N,N,West North Central,Midwest,MO,Missouri,63626,Blackwell,38.053566,-90.64229,SE Corner of Missouri,Washington County,29,United States
89,193120,Y,Y,N,Mountain,West,NV,Nevada,89830,Montello,41.247573,-114.21077,NE Corner of Nevada,Elko County,210,United States
90,230274,Y,Y,Y,Pacific,West,CA,California,90261,Lawndale,33.895363,-118.37689,SE Corner of California,Los Angeles County,200,United States
91,234767,N,N,N,Mid-Atlantic,Northeast,NY,New York,12432,Glasco,41.949795,-74.003246,SE Corner of New York,Ulster County,79,United States
92,244209,Y,Y,N,East North Central,Midwest,OH,Ohio,43081,Westerville,40.109513,-82.91606,SW Corner of Ohio,Franklin County,149,United States
93,221942,Y,Y,N,South Atlantic,South,FL,Florida,33527,Dover,27.98706,-82.21357,NE Corner of Florida,Hillsborough County,46,United States
94,17709,Y,N,N,Mid-Atlantic,Northeast,NY,New York,12087,Hannacroix,42.434883,-73.89271,SE Corner of New York,Greene County,193,United States
95,229779,Y,Y,N,Pacific,West,WA,Washington,98037,Lynnwood,47.848237,-122.28348,NW Corner of Washington,Snohomish County,131,United States
96,79221,Y,N,N,South Atlantic,South,NC,North Carolina,27518,Cary,35.797692,-78.625265,NE Corner of North Carolina,Wake County,117,United States
97,255084,Y,Y,Y,South Atlantic,South,GA,Georgia,31205,Macon,32.806707,-83.691315,NW Corner of Georgia,Bibb County,225,United States
98,214936,Y,Y,N,West North Central,Midwest,MO,Missouri,65013,Belle,38.279787,-91.74108,SE Corner of Missouri,Maries County,104,United States
99,26266,Y,Y,N,Mountain,West,NM,New Mexico,87072,Cochiti Pueblo,35.612925,-106.34845,NW Corner of New Mexico,Sandoval County,206,United States
100,267449,Y,N,N,West North Central,Midwest,MN,Minnesota,56319,Carlos,45.990781,-95.27033,SW Corner of Minnesota,Douglas County,145,United States
101,78520,Y,N,N,Mid-Atlantic,Northeast,NJ,New Jersey,08808,Broadway,40.737213,-75.046926,NW Corner of New Jersey,Warren County,41,United States
102,64769,Y,Y,Y,West South Central,South,AR,Arkansas,72478,Warm Springs,36.464979,-91.053,NE Corner of Arkansas,Randolph County,59,United States
103,51626,Y,N,N,East North Central,Midwest,OH,Ohio,43077,Unionville Center,40.136336,-83.3415,SW Corner of Ohio,Union County,116,United States
104,177708,N,N,N,South Atlantic,South,FL,Florida,34785,Wildwood,28.852564,-82.0321,NE Corner of Florida,Sumter County,209,United States
105,172135,Y,N,N,New England,Northeast,CT,Connecticut,06023,East Berlin,41.612748,-72.72017,NE Corner of Connecticut,Hartford County,185,United States
106,285225,N,N,N,East North Central,Midwest,IL,Illinois,62721,Springfield,39.749457,-89.606017,SW Corner of Illinois,Sangamon County,178,United States
107,138872,Y,Y,N,West South Central,South,TX,Texas,76013,Arlington,32.721632,-97.14698,NE Corner of Texas,Tarrant County,149,United States
108,109214,Y,Y,N,Mountain,West,ID,Idaho,83256,Moreland,43.222648,-112.442253,SE Corner of Idaho,Bingham County,204,United States
109,171404,Y,Y,Y,West South Central,South,OK,Oklahoma,74543,Finley,34.373618,-95.43604,SE Corner of Oklahoma,Pushmataha County,109,United States
110,124860,Y,Y,N,South Atlantic,South,FL,Florida,34876,Lake Butter,28.505419,-81.571248,NE Corner of Florida,Unknown County,10,United States
111,141366,Y,Y,N,Mountain,West,ID,Idaho,83837,Kellogg,47.542783,-116.11848,NW Corner of Idaho,Shoshone County,245,United States
112,82025,Y,Y,Y,West North Central,Midwest,IA,Iowa,50950,Des Moines,41.672687,-93.572173,SW Corner of Iowa,Polk County,114,United States
113,50069,Y,Y,Y,Pacific,West,CA,California,95655,Mather,38.558073,-121.28737,NW Corner of California,Sacramento County,186,United States
114,73056,Y,Y,Y,South Atlantic,South,MD,Maryland,21635,Galena,39.349536,-75.85332,NE Corner of Maryland,Kent County,153,United States
115,229733,N,N,N,West South Central,South,TX,Texas,75149,Mesquite,32.767329,-96.60759,NE Corner of Texas,Dallas County,239,United States
116,285486,N,N,N,West North Central,Midwest,IA,Iowa,51355,Okoboji,43.38762,-95.13802,NW Corner of Iowa,Dickinson County,148,United States
117,236563,N,N,N,East South Central,South,KY,Kentucky,41351,Mistletoe,37.398617,-83.704908,SE Corner of Kentucky,Owsley County,152,United States
118,212594,Y,Y,Y,Pacific,West,OR,Oregon,97148,Yamhill,45.352399,-123.22502,NW Corner of Oregon,Yamhill County,110,United States
119,226574,Y,Y,N,Mountain,West,NM,New Mexico,88414,Capulin,36.740696,-103.99329,NE Corner of New Mexico,Union County,227,United States
120,250093,Y,Y,N,West North Central,Midwest,IA,Iowa,52169,Wadena,42.845037,-91.65943,NE Corner of Iowa,Fayette County,157,United States
121,171707,Y,Y,Y,Pacific,West,CA,California,93586,Lancaster,33.786594,-118.298662,SE Corner of California,Los Angeles County,242,United States
122,128387,N,N,N,Pacific,West,CA,California,94708,Berkeley,37.894625,-122.26372,NW Corner of California,Alameda County,81,United States
123,14345,Y,N,N,South Atlantic,South,GA,Georgia,31002,Adrian,32.549854,-82.56948,SE Corner of Georgia,Emanuel County,134,United States
124,287300,Y,N,N,West South Central,South,AR,Arkansas,72019,North Little Rock,34.804791,-92.28925,NE Corner of Arkansas,Saline County,133,United States
125,256558,Y,Y,N,Mountain,West,MT,Montana,59448,Heart Butte,48.309341,-112.81115,NW Corner of Montana,Pondera County,170,United States
126,7585,Y,Y,N,West North Central,Midwest,MO,Missouri,63464,Plevna,39.972337,-92.06553,NE Corner of Missouri,Knox County,184,United States
127,251273,Y,Y,Y,Mid-Atlantic,Northeast,PA,Pennsylvania,18769,Wilkes Barre,41.272248,-75.880146,NE Corner of Pennsylvania,Luzerne County,78,United States
128,208310,N,N,N,Mountain,West,WY,Wyoming,82729,Sundance,44.376421,-104.398,NE Corner of Wyoming,Crook County,217,United States
129,100209,Y,Y,N,South Atlantic,South,FL,Florida,33526,Dade City,28.310134,-82.247783,NE Corner of Florida,Pasco County,205,United States
130,37190,Y,Y,Y,Pacific,West,CA,California,94522,Concord,37.777208,-121.955399,NW Corner of California,Contra Costa County,150,United States
131,245773,Y,Y,N,East South Central,South,TN,Tennessee,38137,Memphis,35.201738,-89.971538,NW Corner of Tennessee,Shelby County,120,United States
132,54689,Y,Y,Y,South Atlantic,South,VA,Virginia,23039,Crozier,37.643406,-77.80709,SE Corner of Virginia,Goochland County,11,United States
133,200565,Y,Y,N,Pacific,West,WA,Washington,98621,Grays River,46.348706,-123.58307,SW Corner of Washington,Wahkiakum County,214,United States
134,66338,Y,N,N,East South Central,South,MS,Mississippi,39272,Jackson,32.311287,-90.397157,SW Corner of Mississippi,Hinds County,76,United States
135,87363,Y,Y,Y,Pacific,West,OR,Oregon,97836,Heppner,45.343509,-119.53938,NE Corner of Oregon,Morrow County,16,United States
136,94963,Y,Y,N,West North Central,Midwest,NE,Nebraska,69033,Imperial,40.530405,-101.67576,SW Corner of Nebraska,Chase County,25,United States
137,170454,N,N,N,Pacific,West,CA,California,93283,Weldon,35.614134,-118.27824,SE Corner of California,Kern County,143,United States
138,64671,N,N,N,Mountain,West,UT,Utah,84762,Duck Creek Village,37.48474,-112.71064,SW Corner of Utah,Kane County,89,United States
139,15086,Y,Y,N,New England,Northeast,ME,Maine,04254,Livermore Falls,44.470961,-70.17486,SW Corner of Maine,Androscoggin County,51,United States
140,290255,Y,Y,N,Pacific,West,HI,Hawaii,96742,Kalaupapa,21.191665,-156.9818,SE Corner of Hawaii,Kalawao County,239,United States
141,92000,N,N,N,South Atlantic,South,WV,West Virginia,26260,Davis,39.101535,-79.43805,NE Corner of West Virginia,Tucker County,68,United States
142,131363,Y,N,N,Mountain,West,AZ,Arizona,86403,Lake Havasu City,34.483582,-114.33694,NW Corner of Arizona,Mohave County,52,United States
143,147426,N,N,N,Mid-Atlantic,Northeast,NY,New York,11819,Hicksville,40.754757,-73.601772,SE Corner of New York,Nassau County,5,United States
144,185404,N,N,N,Mid-Atlantic,Northeast,NY,New York,13657,Limerick,44.035703,-76.090424,NW Corner of New York,Jefferson County,177,United States
145,38661,N,N,N,Pacific,West,CA,California,90032,Los Angeles,34.08166,-118.17568,SE Corner of California,Los Angeles County,121,United States
146,197969,N,N,N,South Atlantic,South,FL,Florida,33935,Labelle,26.760476,-81.43029,SE Corner of Florida,Hendry County,197,United States
147,11239,Y,N,N,New England,Northeast,ME,Maine,04450,Kenduskeag,44.921758,-68.93125,SE Corner of Maine,Penobscot County,85,United States
148,181948,Y,N,N,Mountain,West,ID,Idaho,83834,Harvard,46.973846,-116.71663,NW Corner of Idaho,Latah County,147,United States
149,249783,Y,N,N,Pacific,West,CA,California,92196,San Diego,33.016928,-116.846046,SE Corner of California,San Diego County,83,United States
150,284166,Y,N,N,Pacific,West,HI,Hawaii,96792,Waianae,21.434246,-158.17092,SE Corner of Hawaii,Honolulu County,154,United States
151,284406,Y,Y,N,West North Central,Midwest,KS,Kansas,67673,Waldo,39.166845,-98.79762,NW Corner of Kansas,Russell County,161,United States
152,18272,Y,N,N,South Atlantic,South,WV,West Virginia,25716,Huntington,38.413384,-82.277401,SW Corner of West Virginia,Cabell County,153,United States
153,279984,Y,N,N,East South Central,South,AL,Alabama,35231,Birmingham,33.544622,-86.929208,NW Corner of Alabama,Jefferson County,62,United States
154,192128,Y,N,N,Pacific,West,HI,Hawaii,96713,Hana,20.739217,-156.03893,SE Corner of Hawaii,Maui County,227,United States
155,176574,Y,N,N,East North Central,Midwest,MI,Michigan,48134,Flat Rock,42.107026,-83.28711,SE Corner of Michigan,Wayne County,116,United States
156,58132,Y,Y,N,East North Central,Midwest,IN,Indiana,46939,Kewanna,41.007625,-86.4016,NW Corner of Indiana,Fulton County,10,United States
157,131658,Y,Y,Y,Mountain,West,NM,New Mexico,87540,Lamy,35.434943,-105.91873,NE Corner of New Mexico,Santa Fe County,43,United States
158,103164,Y,Y,Y,Pacific,West,HI,Hawaii,96767,Lahaina,20.866638,-156.646667,SE Corner of Hawaii,Maui County,157,United States
159,25879,Y,Y,N,South Atlantic,South,NC,North Carolina,27294,Lexington,35.882943,-80.275963,NW Corner of North Carolina,Davidson County,160,United States
160,52431,N,N,N,East North Central,Midwest,IN,Indiana,47429,Ellettsville,39.245995,-86.62275,SW Corner of Indiana,Monroe County,150,United States
161,80657,Y,Y,N,Mountain,West,CO,Colorado,80273,Denver,39.727293,-104.987535,NE Corner of Colorado,Denver County,101,United States
162,70361,Y,N,N,East South Central,South,AL,Alabama,35456,Duncanville,33.068806,-87.43974,NW Corner of Alabama,Tuscaloosa County,212,United States
163,199764,Y,N,N,South Atlantic,South,NC,North Carolina,28808,Asheville,35.486156,-82.532081,NW Corner of North Carolina,Unknown County,111,United States
164,40815,N,N,N,Mid-Atlantic,Northeast,NY,New York,11970,South Jamesport,40.941363,-72.57502,SE Corner of New York,Suffolk County,29,United States
165,141174,Y,Y,Y,Pacific,West,CA,California,95960,North San Juan,39.396152,-121.08227,NW Corner of California,Nevada County,247,United States
166,20039,Y,Y,Y,Mountain,West,MT,Montana,59485,Ulm,47.429273,-111.59357,NW Corner of Montana,Cascade County,77,United States
167,189969,Y,Y,N,South Atlantic,South,VA,Virginia,23011,Barhamsville,37.478184,-76.81384,SE Corner of Virginia,New Kent County,185,United States
168,153240,N,N,N,Mid-Atlantic,Northeast,NY,New York,13848,Tunnel,42.214705,-75.727699,SE Corner of New York,Broome County,221,United States
169,255343,Y,Y,N,East North Central,Midwest,OH,Ohio,45699,Lucasville,38.793335,-82.96046,SW Corner of Ohio,Scioto County,229,United States
170,183259,Y,Y,N,Mid-Atlantic,Northeast,NY,New York,13092,Locke,42.643214,-76.42578,SW Corner of New York,Cayuga County,166,United States
171,3491,Y,Y,N,West North Central,Midwest,MO,Missouri,64873,Wentworth,37.011487,-94.05116,SW Corner of Missouri,Newton County,61,United States
172,142490,Y,Y,Y,Mountain,West,CO,Colorado,81602,Glenwood Springs,39.511742,-107.325336,NW Corner of Colorado,Garfield County,136,United States
173,35248,Y,Y,Y,Mid-Atlantic,Northeast,NJ,New Jersey,07610,Oradell,40.951348,-74.041234,NE Corner of New Jersey,Unknown County,220,United States
174,44295,N,N,N,East South Central,South,AL,Alabama,35612,Athens,34.774907,-87.030479,NW Corner of Alabama,Limestone County,213,United States
175,189223,Y,N,N,West North Central,Midwest,IA,Iowa,52408,Cedar Rapids,42.079415,-91.599215,NE Corner of Iowa,Linn County,44,United States
176,8731,Y,Y,N,East North Central,Midwest,IL,Illinois,62642,Greenview,40.087711,-89.72066,NW Corner of Illinois,Menard County,20,United States
177,268035,Y,Y,N,Pacific,West,OR,Oregon,97396,Willamina,45.140178,-123.49286,NW Corner of Oregon,Yamhill County,141,United States
178,297184,N,N,N,West North Central,Midwest,KS,Kansas,67201,Wichita,37.651974,-97.258997,SE Corner of Kansas,Sedgwick County,149,United States
179,294243,Y,Y,Y,South Atlantic,South,SC,South Carolina,29861,North Augusta,33.53773,-81.599891,SW Corner of South Carolina,Aiken County,218,United States
180,193027,N,N,N,West South Central,South,TX,Texas,76628,Brandon,32.045029,-96.96601,NE Corner of Texas,Hill County,66,United States
181,288455,Y,N,N,Pacific,West,CA,California,94979,San Anselmo,38.068036,-122.740988,NW Corner of California,Marin County,176,United States
182,183298,Y,Y,N,East North Central,Midwest,IL,Illinois,61732,Danvers,40.528515,-89.19057,NE Corner of Illinois,McLean County,120,United States
183,187186,N,N,N,Mid-Atlantic,Northeast,PA,Pennsylvania,18214,Barnesville,40.811198,-76.06652,SE Corner of Pennsylvania,Schuylkill County,220,United States
184,109081,Y,N,N,Pacific,West,OR,Oregon,97308,Salem,44.984465,-122.457024,NW Corner of Oregon,Marion County,157,United States
185,217184,Y,N,N,South Atlantic,South,PR,Puerto Rico,00963,Catano,18.443217,-66.139293,NE Corner of Puerto Rico,Cata̱o,230,United States
186,175361,N,N,N,East North Central,Midwest,OH,Ohio,43163,West Rushville,39.7631,-82.447024,SE Corner of Ohio,Fairfield County,61,United States
187,255545,N,N,N,Mid-Atlantic,Northeast,NY,New York,13489,West Leyden,43.453661,-75.52172,NE Corner of New York,Lewis County,138,United States
188,258385,Y,Y,Y,East North Central,Midwest,OH,Ohio,44135,Cleveland,41.432149,-81.80467,NE Corner of Ohio,Cuyahoga County,236,United States
189,172305,Y,Y,N,South Atlantic,South,GA,Georgia,31625,Barney,31.003274,-83.5282,SW Corner of Georgia,Brooks County,110,United States
190,25336,Y,Y,N,Pacific,West,CA,California,95558,Petrolia,40.272963,-124.21494,NW Corner of California,Humboldt County,48,United States
191,11510,N,N,N,West South Central,South,TX,Texas,79044,Hartley,35.890235,-102.3595,NW Corner of Texas,Hartley County,89,United States
192,131096,N,N,N,South Atlantic,South,WV,West Virginia,25267,Normantown,38.849663,-80.96569,SW Corner of West Virginia,Gilmer County,141,United States
193,272959,Y,N,N,New England,Northeast,MA,Massachusetts,02552,Menemsha,41.379836,-70.643092,SE Corner of Massachusetts,Dukes County,110,United States
